ano,sem,codclg,codcur,codhab,staalu,codund,sglund,nomcur,nomhab,matr
2013,1,1,1020,Sem cadastro,T,1,RUSP,Ciências Moleculares,,2
2013,1,1,1080,101,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Paulo),236
2013,1,1,1080,101,T,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Paulo),4
2013,1,1,1080,201,A,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Piracicaba),1
2013,1,1,1080,201,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Piracicaba),61
2013,1,1,1080,201,T,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Piracicaba),6
2013,1,1,1080,301,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Ribeirão Preto),63
2013,1,1,1080,301,T,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Ribeirão Preto),5
2013,1,1,1080,401,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Carlos),45
2013,1,1,1080,501,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Jaú),13
2013,1,1,1080,601,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Lorena),16
2013,1,1,1080,701,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Santos),11
2013,1,1,Sem cadastro,Sem cadastro,M,1,RUSP,,,44
2013,2,1,1020,Sem cadastro,A,1,RUSP,Ciências Moleculares,,1
2013,2,1,1020,Sem cadastro,M,1,RUSP,Ciências Moleculares,,56
2013,2,1,1020,Sem cadastro,T,1,RUSP,Ciências Moleculares,,4
2013,2,1,1080,101,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Paulo),204
2013,2,1,1080,101,T,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Paulo),4
2013,2,1,1080,201,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Piracicaba),62
2013,2,1,1080,201,T,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Piracicaba),6
2013,2,1,1080,301,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Ribeirão Preto),55
2013,2,1,1080,301,T,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Ribeirão Preto),8
2013,2,1,1080,401,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Carlos),41
2013,2,1,1080,501,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Jaú),11
2013,2,1,1080,601,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Lorena),5
2013,2,1,1080,701,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Santos),8
2013,2,1,Sem cadastro,Sem cadastro,M,1,RUSP,,,28
2014,1,1,1020,Sem cadastro,M,1,RUSP,Ciências Moleculares,,51
2014,1,1,1020,Sem cadastro,T,1,RUSP,Ciências Moleculares,,4
2014,1,1,1080,101,A,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Paulo),1
2014,1,1,1080,101,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Paulo),277
2014,1,1,1080,101,T,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Paulo),9
2014,1,1,1080,201,A,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Piracicaba),2
2014,1,1,1080,201,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Piracicaba),76
2014,1,1,1080,201,T,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Piracicaba),5
2014,1,1,1080,301,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Ribeirão Preto),70
2014,1,1,1080,301,T,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Ribeirão Preto),5
2014,1,1,1080,401,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Carlos),45
2014,1,1,1080,401,T,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Carlos),1
2014,1,1,1080,501,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Jaú),25
2014,1,1,1080,601,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Lorena),18
2014,1,1,1080,701,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Santos),19
2014,1,1,Sem cadastro,Sem cadastro,M,1,RUSP,,,125
2014,2,1,1020,Sem cadastro,A,1,RUSP,Ciências Moleculares,,2
2014,2,1,1020,Sem cadastro,M,1,RUSP,Ciências Moleculares,,52
2014,2,1,1020,Sem cadastro,T,1,RUSP,Ciências Moleculares,,3
2014,2,1,1080,101,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Paulo),249
2014,2,1,1080,101,R,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Paulo),1
2014,2,1,1080,101,T,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Paulo),11
2014,2,1,1080,201,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Piracicaba),76
2014,2,1,1080,201,T,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Piracicaba),5
2014,2,1,1080,301,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Ribeirão Preto),71
2014,2,1,1080,301,T,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Ribeirão Preto),6
2014,2,1,1080,401,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Carlos),49
2014,2,1,1080,401,T,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Carlos),1
2014,2,1,1080,501,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Jaú),23
2014,2,1,1080,501,T,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Jaú),1
2014,2,1,1080,601,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Lorena),18
2014,2,1,1080,701,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Santos),21
2014,2,1,1080,701,R,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Santos),1
2014,2,1,Sem cadastro,Sem cadastro,M,1,RUSP,,,41
2015,1,1,1020,Sem cadastro,M,1,RUSP,Ciências Moleculares,,51
2015,1,1,1020,Sem cadastro,T,1,RUSP,Ciências Moleculares,,2
2015,1,1,1080,101,A,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Paulo),7
2015,1,1,1080,101,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Paulo),239
2015,1,1,1080,101,T,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Paulo),13
2015,1,1,1080,201,A,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Piracicaba),2
2015,1,1,1080,201,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Piracicaba),63
2015,1,1,1080,201,T,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Piracicaba),3
2015,1,1,1080,301,A,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Ribeirão Preto),1
2015,1,1,1080,301,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Ribeirão Preto),51
2015,1,1,1080,301,T,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Ribeirão Preto),6
2015,1,1,1080,401,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Carlos),36
2015,1,1,1080,401,T,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Carlos),2
2015,1,1,1080,501,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Jaú),27
2015,1,1,1080,501,T,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Jaú),1
2015,1,1,1080,601,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Lorena),17
2015,1,1,1080,601,T,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Lorena),2
2015,1,1,1080,701,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Santos),23
2015,1,1,1080,701,T,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Santos),3
2015,1,1,Sem cadastro,Sem cadastro,M,1,RUSP,,,126
2015,2,1,1020,Sem cadastro,M,1,RUSP,Ciências Moleculares,,48
2015,2,1,1020,Sem cadastro,T,1,RUSP,Ciências Moleculares,,3
2015,2,1,1080,101,A,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Paulo),4
2015,2,1,1080,101,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Paulo),234
2015,2,1,1080,101,T,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Paulo),14
2015,2,1,1080,201,A,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Piracicaba),2
2015,2,1,1080,201,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Piracicaba),64
2015,2,1,1080,201,T,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Piracicaba),5
2015,2,1,1080,301,A,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Ribeirão Preto),1
2015,2,1,1080,301,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Ribeirão Preto),55
2015,2,1,1080,301,T,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Ribeirão Preto),5
2015,2,1,1080,401,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Carlos),37
2015,2,1,1080,401,T,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Carlos),2
2015,2,1,1080,501,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Jaú),33
2015,2,1,1080,501,T,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Jaú),1
2015,2,1,1080,601,A,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Lorena),1
2015,2,1,1080,601,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Lorena),23
2015,2,1,1080,601,T,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Lorena),1
2015,2,1,1080,701,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Santos),24
2015,2,1,1080,701,T,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Santos),3
2015,2,1,Sem cadastro,Sem cadastro,M,1,RUSP,,,25
2016,1,1,1020,Sem cadastro,M,1,RUSP,Ciências Moleculares,,43
2016,1,1,1020,Sem cadastro,T,1,RUSP,Ciências Moleculares,,3
2016,1,1,1080,101,A,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Paulo),2
2016,1,1,1080,101,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Paulo),177
2016,1,1,1080,101,R,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Paulo),1
2016,1,1,1080,101,T,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Paulo),8
2016,1,1,1080,201,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Piracicaba),47
2016,1,1,1080,201,T,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Piracicaba),4
2016,1,1,1080,301,A,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Ribeirão Preto),3
2016,1,1,1080,301,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Ribeirão Preto),45
2016,1,1,1080,301,T,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Ribeirão Preto),2
2016,1,1,1080,401,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Carlos),31
2016,1,1,1080,501,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Jaú),32
2016,1,1,1080,501,T,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Jaú),1
2016,1,1,1080,601,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Lorena),22
2016,1,1,1080,601,T,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Lorena),1
2016,1,1,1080,701,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Santos),22
2016,1,1,1080,701,T,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Santos),2
2016,1,1,Sem cadastro,Sem cadastro,M,1,RUSP,,,22
2016,2,1,1020,Sem cadastro,M,1,RUSP,Ciências Moleculares,,58
2016,2,1,1020,Sem cadastro,T,1,RUSP,Ciências Moleculares,,3
2016,2,1,1080,101,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Paulo),168
2016,2,1,1080,101,T,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Paulo),6
2016,2,1,1080,201,A,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Piracicaba),1
2016,2,1,1080,201,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Piracicaba),45
2016,2,1,1080,201,T,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Piracicaba),4
2016,2,1,1080,301,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Ribeirão Preto),45
2016,2,1,1080,301,T,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Ribeirão Preto),4
2016,2,1,1080,401,A,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Carlos),2
2016,2,1,1080,401,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Carlos),28
2016,2,1,1080,501,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Jaú),30
2016,2,1,1080,501,T,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Jaú),1
2016,2,1,1080,601,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Lorena),20
2016,2,1,1080,601,T,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Lorena),1
2016,2,1,1080,701,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Santos),22
2016,2,1,1080,701,T,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Santos),2
2016,2,1,Sem cadastro,Sem cadastro,M,1,RUSP,,,24
2017,1,1,1020,Sem cadastro,M,1,RUSP,Ciências Moleculares,,51
2017,1,1,1020,Sem cadastro,T,1,RUSP,Ciências Moleculares,,2
2017,1,1,1080,101,A,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Paulo),3
2017,1,1,1080,101,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Paulo),116
2017,1,1,1080,101,T,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Paulo),3
2017,1,1,1080,201,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Piracicaba),27
2017,1,1,1080,201,T,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Piracicaba),2
2017,1,1,1080,301,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Ribeirão Preto),28
2017,1,1,1080,301,T,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Ribeirão Preto),2
2017,1,1,1080,401,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Carlos),20
2017,1,1,1080,501,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Jaú),23
2017,1,1,1080,601,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Lorena),15
2017,1,1,1080,701,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Santos),15
2017,1,1,Sem cadastro,Sem cadastro,M,1,RUSP,,,19
2017,2,1,1020,Sem cadastro,M,1,RUSP,Ciências Moleculares,,71
2017,2,1,1020,Sem cadastro,T,1,RUSP,Ciências Moleculares,,1
2017,2,1,1080,101,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Paulo),114
2017,2,1,1080,101,T,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Paulo),3
2017,2,1,1080,201,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Piracicaba),25
2017,2,1,1080,301,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Ribeirão Preto),26
2017,2,1,1080,301,T,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Ribeirão Preto),2
2017,2,1,1080,401,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Carlos),18
2017,2,1,1080,501,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Jaú),22
2017,2,1,1080,601,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Lorena),14
2017,2,1,1080,701,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Santos),15
2017,2,1,Sem cadastro,Sem cadastro,M,1,RUSP,,,27
2018,1,1,1020,Sem cadastro,A,1,RUSP,Ciências Moleculares,,1
2018,1,1,1020,Sem cadastro,M,1,RUSP,Ciências Moleculares,,65
2018,1,1,1020,Sem cadastro,T,1,RUSP,Ciências Moleculares,,1
2018,1,1,1080,101,A,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Paulo),4
2018,1,1,1080,101,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Paulo),62
2018,1,1,1080,101,T,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Paulo),1
2018,1,1,1080,201,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Piracicaba),13
2018,1,1,1080,201,T,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Piracicaba),1
2018,1,1,1080,301,A,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Ribeirão Preto),1
2018,1,1,1080,301,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Ribeirão Preto),16
2018,1,1,1080,301,T,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Ribeirão Preto),2
2018,1,1,1080,401,A,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Carlos),1
2018,1,1,1080,401,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Carlos),11
2018,1,1,1080,501,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Jaú),15
2018,1,1,1080,601,A,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Lorena),2
2018,1,1,1080,601,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Lorena),7
2018,1,1,1080,701,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Santos),8
2018,1,1,Sem cadastro,Sem cadastro,M,1,RUSP,,,22
2018,2,1,1020,Sem cadastro,M,1,RUSP,Ciências Moleculares,,81
2018,2,1,1020,Sem cadastro,T,1,RUSP,Ciências Moleculares,,4
2018,2,1,1080,101,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Paulo),42
2018,2,1,1080,101,T,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Paulo),1
2018,2,1,1080,201,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Piracicaba),12
2018,2,1,1080,201,T,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Piracicaba),1
2018,2,1,1080,301,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Ribeirão Preto),15
2018,2,1,1080,301,T,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Ribeirão Preto),2
2018,2,1,1080,401,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Carlos),10
2018,2,1,1080,501,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Jaú),13
2018,2,1,1080,601,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Lorena),9
2018,2,1,1080,701,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Santos),7
2018,2,1,Sem cadastro,Sem cadastro,M,1,RUSP,,,20
2019,1,1,1020,Sem cadastro,M,1,RUSP,Ciências Moleculares,,73
2019,1,1,1020,Sem cadastro,T,1,RUSP,Ciências Moleculares,,3
2019,1,1,1080,101,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Paulo),26
2019,1,1,1080,101,T,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Paulo),1
2019,1,1,1080,201,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Piracicaba),7
2019,1,1,1080,301,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Ribeirão Preto),9
2019,1,1,1080,401,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Carlos),4
2019,1,1,1080,501,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Jaú),3
2019,1,1,1080,601,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Lorena),1
2019,1,1,1080,701,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Santos),5
2019,1,1,Sem cadastro,Sem cadastro,M,1,RUSP,,,31
2019,2,1,1020,Sem cadastro,M,1,RUSP,Ciências Moleculares,,95
2019,2,1,1020,Sem cadastro,T,1,RUSP,Ciências Moleculares,,5
2019,2,1,1080,101,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Paulo),19
2019,2,1,1080,101,T,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Paulo),1
2019,2,1,1080,201,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Piracicaba),6
2019,2,1,1080,301,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Ribeirão Preto),5
2019,2,1,1080,301,T,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Ribeirão Preto),1
2019,2,1,1080,401,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Carlos),2
2019,2,1,1080,501,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Jaú),4
2019,2,1,1080,601,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Lorena),1
2019,2,1,1080,701,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Santos),3
2019,2,1,Sem cadastro,Sem cadastro,M,1,RUSP,,,23
2020,1,1,1020,Sem cadastro,A,1,RUSP,Ciências Moleculares,,1
2020,1,1,1020,Sem cadastro,M,1,RUSP,Ciências Moleculares,,91
2020,1,1,1020,Sem cadastro,T,1,RUSP,Ciências Moleculares,,4
2020,1,1,1080,101,A,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Paulo),1
2020,1,1,1080,101,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Paulo),9
2020,1,1,1080,101,R,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Paulo),2
2020,1,1,1080,101,T,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Paulo),1
2020,1,1,1080,201,A,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Piracicaba),6
2020,1,1,1080,301,A,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Ribeirão Preto),1
2020,1,1,1080,301,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Ribeirão Preto),5
2020,1,1,1080,501,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Jaú),2
2020,1,1,1080,601,A,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Lorena),1
2020,1,1,Sem cadastro,Sem cadastro,M,1,RUSP,,,12
2012,1,2,2011,404,A,2,FD,Direito,Área: Direito Privado e Processo Civil,1
2012,1,2,2012,504,M,2,FD,Direito,Área: Direito de Empresa (Administração Empresarial e Tributária),2
2012,1,2,2012,604,A,2,FD,Direito,Área: Direito do Trabalho e da Segurança Social,1
2012,1,2,2012,604,M,2,FD,Direito,Área: Direito do Trabalho e da Segurança Social,2
2012,1,2,2012,702,A,2,FD,Direito,Área Livre,3
2012,1,2,2012,702,M,2,FD,Direito,Área Livre,4
2012,1,2,2012,702,R,2,FD,Direito,Área Livre,1
2012,1,2,2012,704,A,2,FD,Direito,Área Livre,2
2012,1,2,2012,704,M,2,FD,Direito,Área Livre,7
2012,1,2,2012,704,R,2,FD,Direito,Área Livre,1
2012,1,2,2013,102,A,2,FD,Direito,Direito,9
2012,1,2,2013,102,M,2,FD,Direito,Direito,1164
2012,1,2,2013,102,T,2,FD,Direito,Direito,13
2012,1,2,2013,104,A,2,FD,Direito,Direito,12
2012,1,2,2013,104,M,2,FD,Direito,Direito,1187
2012,1,2,2013,104,R,2,FD,Direito,Direito,4
2012,1,2,2013,104,T,2,FD,Direito,Direito,29
